userId,locality,keywords,u_type,dest_fav
3542,Figuif,"Éclairage tamisé,Assistance bagages,Ambiance chaleureuse,Climatisation,Vue panoramique,Conduite souple",Traveler,Buea
1759,Dibombari,"Animaux acceptés,Wi-Fi gratuit,Chauffeur expérimenté,Assistance bagages,Cuisine,Espace de rangement,Climatisation,Ponctualité,Connectivité,Confort,Musique,Navigation GPS,Conduite souple",Planner,Douala
809,Bali,"Silence,Musique,Assistance bagages,Connectivité,Langue parlée,Conversation,Éclairage tamisé,Ponctualité,Ambiance chaleureuse,Sièges inclinables,Espace de rangement,Confort,Vue panoramique,Conduite souple,Sport,Navigation GPS,Boisson gratuite",Traveler,Bonabéri
4113,Bamenda,Boisson gratuite,Planner,Dibombari
1027,Guider,"Climatisation,Boisson gratuite,Connectivité,Éclairage tamisé,Ponctualité,Musique,Vue panoramique,Chauffeur expérimenté,Silence,Sport",Traveler,Yagoua
1860,Bonakouamouang,"Assistance bagages,Ponctualité,Espace de rangement,Silence,Musique,Connectivité,Éclairage tamisé,Vue panoramique,Langue parlée,Wi-Fi gratuit,Animaux acceptés,Navigation GPS",Planner,Dibombari
190,Gazawa,"Confort,Musique,Boisson gratuite,Silence,Langue parlée,Chauffeur expérimenté,Conduite souple,Sièges inclinables",Traveler,Kumba
35,Boutours,"Éclairage tamisé,Conduite souple,Sport,Langue parlée,Espace de rangement,Climatisation,Navigation GPS,Vue panoramique,Assistance bagages,Chauffeur expérimenté",Traveler,Belo
3083,Gazawa,"Cuisine,Chauffeur expérimenté,Climatisation,Langue parlée,Musique,Assistance bagages,Conduite souple,Sport,Vue panoramique,Silence",Traveler,Bonabéri
1869,Bafia,"Silence,Espace de rangement,Sport,Langue parlée,Sièges inclinables,Climatisation,Assistance bagages,Connectivité,Ambiance chaleureuse,Chauffeur expérimenté,Conversation,Musique,Animaux acceptés,Confort,Boisson gratuite",Planner,Nanga-Eboko
3977,Kumba,"Wi-Fi gratuit,Ponctualité,Vue panoramique,Cuisine,Espace de rangement,Sièges inclinables,Éclairage tamisé,Climatisation,Langue parlée,Connectivité,Chauffeur expérimenté,Assistance bagages,Sport,Silence,Musique,Animaux acceptés,Boisson gratuite,Conduite souple,Ambiance chaleureuse,Navigation GPS,Conversation",Traveler,Bonanjo
4962,Boutours,"Sièges inclinables,Éclairage tamisé,Navigation GPS,Climatisation,Confort,Langue parlée,Musique,Espace de rangement",Planner,Bali Nyonga
1469,Gazawa,"Cuisine,Climatisation,Ambiance chaleureuse,Boisson gratuite,Vue panoramique,Sièges inclinables,Sport,Éclairage tamisé,Chauffeur expérimenté,Animaux acceptés",Planner,Batibo
4671,Beti,"Boisson gratuite,Sport,Chauffeur expérimenté,Conversation,Langue parlée,Vue panoramique,Connectivité,Conduite souple,Espace de rangement,Sièges inclinables,Cuisine,Confort,Musique,Éclairage tamisé,Ambiance chaleureuse,Silence,Navigation GPS,Animaux acceptés,Climatisation,Assistance bagages,Ponctualité",Planner,Bamenda
544,Nanga-Eboko,"Conduite souple,Éclairage tamisé,Musique,Animaux acceptés",Traveler,Beti
2416,Bonakouamouang,"Boisson gratuite,Conduite souple,Cuisine,Ambiance chaleureuse,Confort,Musique,Animaux acceptés,Connectivité,Navigation GPS,Sièges inclinables,Wi-Fi gratuit,Silence",Traveler,Bafia
222,Melong,"Ambiance chaleureuse,Chauffeur expérimenté,Silence,Cuisine,Éclairage tamisé,Espace de rangement,Climatisation,Boisson gratuite",Planner,Bonanjo
2276,Mutengene,"Ponctualité,Ambiance chaleureuse,Climatisation,Boisson gratuite,Conversation,Éclairage tamisé,Musique,Espace de rangement,Animaux acceptés,Chauffeur expérimenté,Navigation GPS,Sport",Planner,Meiganga
988,Boutours,"Ponctualité,Cuisine,Conduite souple,Musique,Boisson gratuite,Conversation,Animaux acceptés,Navigation GPS,Éclairage tamisé,Wi-Fi gratuit",Planner,Mutengene
3421,Bafang,"Silence,Cuisine,Ponctualité,Animaux acceptés",Traveler,Bandjoun
4991,Banga Bakundu,"Musique,Ponctualité",Planner,Buea
4458,Nkongsamba,"Chauffeur expérimenté,Ponctualité,Vue panoramique,Connectivité,Climatisation,Animaux acceptés,Ambiance chaleureuse,Espace de rangement",Traveler,Meiganga
1104,Beti,"Sièges inclinables,Animaux acceptés,Langue parlée,Conversation,Ambiance chaleureuse,Sport,Ponctualité,Connectivité,Musique,Wi-Fi gratuit,Boisson gratuite,Navigation GPS,Climatisation,Conduite souple,Chauffeur expérimenté,Assistance bagages,Confort,Espace de rangement,Cuisine,Vue panoramique",Traveler,Limbe
4575,Loum,"Cuisine,Silence,Conduite souple,Ponctualité,Espace de rangement,Ambiance chaleureuse,Confort,Éclairage tamisé,Climatisation,Boisson gratuite,Sport,Langue parlée",Planner,Campo
780,Bamenda,"Animaux acceptés,Conversation,Assistance bagages,Ambiance chaleureuse,Cuisine,Langue parlée,Conduite souple,Boisson gratuite,Sièges inclinables,Navigation GPS,Connectivité,Ponctualité,Musique,Climatisation,Wi-Fi gratuit,Vue panoramique,Sport,Silence,Chauffeur expérimenté,Éclairage tamisé,Confort,Espace de rangement",Traveler,Mbouda
1723,Batibo,"Éclairage tamisé,Langue parlée,Connectivité",Traveler,Kumba
2338,Buea,"Silence,Conduite souple,Sport,Animaux acceptés,Boisson gratuite,Confort,Conversation,Ambiance chaleureuse",Traveler,Kumba
620,Bogo,"Musique,Chauffeur expérimenté,Wi-Fi gratuit,Silence,Cuisine,Climatisation,Espace de rangement,Animaux acceptés,Connectivité,Boisson gratuite,Navigation GPS",Planner,Bafoussam
2849,Figuif,"Sièges inclinables,Navigation GPS,Musique,Climatisation,Espace de rangement,Langue parlée,Boisson gratuite,Ambiance chaleureuse,Assistance bagages,Silence,Cuisine,Éclairage tamisé,Conduite souple,Wi-Fi gratuit,Sport,Chauffeur expérimenté,Conversation,Vue panoramique",Planner,Guider
2787,Beti,"Assistance bagages,Conduite souple,Wi-Fi gratuit,Ambiance chaleureuse",Planner,Bonaberi
4327,Maroua,"Boisson gratuite,Connectivité,Sièges inclinables,Confort,Navigation GPS,Chauffeur expérimenté,Ponctualité,Sport,Silence,Vue panoramique,Espace de rangement,Wi-Fi gratuit,Conduite souple,Cuisine,Assistance bagages,Musique",Planner,Mbalmayo
237,Meiganga,"Animaux acceptés,Musique,Conduite souple,Confort,Climatisation,Boisson gratuite,Espace de rangement,Éclairage tamisé",Planner,Mutengene
1291,Garoua,"Animaux acceptés,Sièges inclinables,Climatisation,Boisson gratuite,Éclairage tamisé,Langue parlée,Vue panoramique,Espace de rangement,Wi-Fi gratuit,Assistance bagages,Navigation GPS,Ambiance chaleureuse,Sport,Musique,Conduite souple,Ponctualité,Silence,Connectivité",Traveler,Batibo
650,Banga Bakundu,"Assistance bagages,Climatisation,Wi-Fi gratuit,Chauffeur expérimenté,Connectivité,Ambiance chaleureuse,Espace de rangement,Animaux acceptés,Confort,Conduite souple",Traveler,Bonabéri
1595,Edéa,"Conversation,Sièges inclinables,Climatisation,Silence,Connectivité,Confort,Sport",Planner,Guider
1863,Douala,"Conversation,Musique,Connectivité,Sièges inclinables,Ambiance chaleureuse,Wi-Fi gratuit,Sport,Espace de rangement,Chauffeur expérimenté,Silence,Langue parlée,Confort,Boisson gratuite,Animaux acceptés,Éclairage tamisé,Climatisation",Planner,Limbe
844,Bonabéri,Conversation,Planner,Bonabéri
534,Bonakouamouang,"Sport,Silence,Musique,Ambiance chaleureuse,Espace de rangement,Chauffeur expérimenté,Conversation,Connectivité,Assistance bagages,Ponctualité,Sièges inclinables",Traveler,Muyuka
3238,Bertoua,"Éclairage tamisé,Confort,Conversation,Espace de rangement,Silence,Langue parlée,Conduite souple,Animaux acceptés,Chauffeur expérimenté,Assistance bagages,Connectivité,Ponctualité,Navigation GPS,Climatisation,Musique,Cuisine,Ambiance chaleureuse,Vue panoramique,Wi-Fi gratuit,Sièges inclinables,Boisson gratuite,Sport",Traveler,Yaounde
4469,Melong,"Connectivité,Cuisine,Éclairage tamisé,Climatisation,Conversation",Planner,Belo
3798,Buea,"Langue parlée,Connectivité,Wi-Fi gratuit",Planner,Yaounde
2421,Essos,"Boisson gratuite,Silence",Traveler,Bonakouamouang
1720,Kribi,"Silence,Confort,Langue parlée,Musique,Éclairage tamisé,Boisson gratuite,Sièges inclinables,Assistance bagages,Navigation GPS,Espace de rangement,Climatisation,Wi-Fi gratuit,Animaux acceptés,Conversation",Traveler,Mbouda
860,Douala,"Wi-Fi gratuit,Ambiance chaleureuse,Musique,Connectivité,Conduite souple,Assistance bagages,Éclairage tamisé,Climatisation,Langue parlée,Boisson gratuite,Ponctualité,Conversation,Animaux acceptés,Confort",Planner,Mbanga
2196,Campo,"Connectivité,Conduite souple,Wi-Fi gratuit,Sièges inclinables,Cuisine,Animaux acceptés,Navigation GPS,Confort,Conversation,Silence,Éclairage tamisé,Ponctualité,Espace de rangement,Climatisation,Musique,Ambiance chaleureuse,Sport,Vue panoramique",Planner,Bogo
3869,Bafia,"Climatisation,Ponctualité,Éclairage tamisé",Traveler,Melong
4315,Nanga-Eboko,"Assistance bagages,Confort,Connectivité,Conduite souple,Espace de rangement,Musique,Chauffeur expérimenté,Ambiance chaleureuse,Conversation,Climatisation,Sport,Langue parlée,Vue panoramique,Ponctualité,Animaux acceptés,Éclairage tamisé,Navigation GPS",Planner,Douala
1001,Bandjoun,"Chauffeur expérimenté,Boisson gratuite,Confort,Wi-Fi gratuit,Sport,Conduite souple,Connectivité,Éclairage tamisé,Conversation,Climatisation,Animaux acceptés,Navigation GPS,Ponctualité,Vue panoramique,Silence,Assistance bagages",Traveler,Kribi
3038,Bamenda,"Ambiance chaleureuse,Sport,Connectivité,Silence,Confort,Wi-Fi gratuit,Espace de rangement,Conduite souple",Traveler,Limbe
4177,Mbandjock,"Chauffeur expérimenté,Espace de rangement,Wi-Fi gratuit,Musique,Ponctualité,Navigation GPS,Vue panoramique,Silence,Ambiance chaleureuse,Connectivité,Boisson gratuite,Langue parlée,Conversation,Cuisine,Climatisation,Sport,Animaux acceptés,Confort",Planner,Meiganga
2462,Bogo,"Chauffeur expérimenté,Espace de rangement",Planner,Gazawa
3583,Bertoua,"Ponctualité,Sport,Conversation,Ambiance chaleureuse",Planner,Kousseri
3500,Garoua,"Conversation,Silence,Wi-Fi gratuit,Éclairage tamisé,Sport,Connectivité",Planner,Melong
3586,Fontem,"Langue parlée,Wi-Fi gratuit,Animaux acceptés,Ponctualité,Cuisine",Traveler,Bonakouamouang
1978,Bimbia,"Silence,Sport,Ambiance chaleureuse,Confort,Navigation GPS,Éclairage tamisé,Animaux acceptés,Climatisation,Musique,Vue panoramique,Ponctualité,Wi-Fi gratuit,Assistance bagages,Espace de rangement",Planner,Belo
3201,Melong,"Climatisation,Conversation",Traveler,Nanga-Eboko
1843,Bonakouamouang,"Navigation GPS,Musique,Chauffeur expérimenté,Silence,Éclairage tamisé,Wi-Fi gratuit,Espace de rangement,Boisson gratuite,Cuisine,Sièges inclinables,Connectivité,Ambiance chaleureuse,Conversation,Climatisation,Conduite souple,Sport,Animaux acceptés,Vue panoramique,Ponctualité,Confort",Planner,Bafia
2958,Loum,"Vue panoramique,Navigation GPS,Espace de rangement,Sièges inclinables,Ambiance chaleureuse,Musique,Conduite souple,Ponctualité,Confort,Boisson gratuite,Éclairage tamisé,Langue parlée,Wi-Fi gratuit,Climatisation,Cuisine,Animaux acceptés,Connectivité,Silence,Chauffeur expérimenté",Planner,Mokolo
1603,Bertoua,"Connectivité,Ponctualité,Conversation,Chauffeur expérimenté,Conduite souple,Climatisation,Wi-Fi gratuit,Éclairage tamisé,Espace de rangement,Confort,Langue parlée,Navigation GPS,Boisson gratuite,Silence,Cuisine,Ambiance chaleureuse,Vue panoramique,Animaux acceptés",Traveler,Fontem
4322,Bali Nyonga,"Climatisation,Vue panoramique,Ambiance chaleureuse,Sièges inclinables,Assistance bagages,Connectivité,Éclairage tamisé,Musique,Silence,Boisson gratuite,Wi-Fi gratuit,Espace de rangement,Confort,Ponctualité,Langue parlée,Conduite souple",Planner,Nanga-Eboko
2169,Nkongsamba,"Chauffeur expérimenté,Éclairage tamisé,Sièges inclinables,Animaux acceptés,Musique,Espace de rangement,Vue panoramique,Boisson gratuite,Wi-Fi gratuit,Sport,Cuisine,Confort",Planner,Boutours
4812,Beti,Conversation,Traveler,Bimbia
3370,Bafang,"Confort,Sport,Ambiance chaleureuse,Navigation GPS,Ponctualité,Espace de rangement,Boisson gratuite,Silence,Climatisation,Musique,Assistance bagages,Wi-Fi gratuit,Conversation,Chauffeur expérimenté,Cuisine,Vue panoramique,Sièges inclinables,Éclairage tamisé,Langue parlée,Conduite souple",Traveler,Boutours
2618,Mbanga,"Ponctualité,Musique,Silence,Navigation GPS,Confort,Conversation",Traveler,Mbandjock
2160,Essos,"Espace de rangement,Langue parlée,Chauffeur expérimenté,Ponctualité,Conduite souple,Musique",Traveler,Nkongsamba
2090,Buea,"Boisson gratuite,Espace de rangement,Cuisine,Wi-Fi gratuit",Traveler,Mokolo
3373,Melong,"Assistance bagages,Silence,Musique,Animaux acceptés,Vue panoramique,Ponctualité,Navigation GPS,Connectivité,Sièges inclinables",Planner,Dibombari
883,Loum,Sport,Planner,Guider
781,Mbandjock,"Musique,Wi-Fi gratuit,Vue panoramique,Cuisine,Langue parlée,Connectivité,Ambiance chaleureuse,Boisson gratuite,Ponctualité,Éclairage tamisé,Conduite souple,Espace de rangement,Climatisation,Confort,Sport,Conversation,Sièges inclinables,Navigation GPS",Traveler,Bali Nyonga
2803,Mbalmayo,"Connectivité,Climatisation,Musique",Traveler,Bonakouamouang
2669,Douala,"Silence,Climatisation,Ambiance chaleureuse,Sport,Conversation,Ponctualité,Navigation GPS,Wi-Fi gratuit,Musique,Confort",Planner,Figuif
1321,Guider,"Espace de rangement,Conversation,Silence,Boisson gratuite,Sport,Éclairage tamisé,Sièges inclinables,Confort,Musique,Climatisation,Assistance bagages,Chauffeur expérimenté,Cuisine,Connectivité,Vue panoramique,Animaux acceptés,Ambiance chaleureuse,Ponctualité,Wi-Fi gratuit,Langue parlée",Planner,Campo
839,Nanga-Eboko,"Conversation,Connectivité,Langue parlée,Sièges inclinables,Confort,Espace de rangement,Boisson gratuite,Assistance bagages,Ambiance chaleureuse,Wi-Fi gratuit,Climatisation,Conduite souple,Vue panoramique,Silence,Musique",Traveler,Nkongsamba
4757,Figuif,"Climatisation,Silence,Langue parlée,Espace de rangement,Vue panoramique,Ambiance chaleureuse,Conduite souple,Connectivité,Conversation,Confort",Planner,Bonamoussadi
4957,Bafang,"Vue panoramique,Confort,Musique,Assistance bagages,Conduite souple,Wi-Fi gratuit",Traveler,Bimbia
969,Bogo,"Silence,Climatisation,Vue panoramique,Wi-Fi gratuit,Éclairage tamisé,Conversation,Confort,Assistance bagages,Cuisine,Sièges inclinables,Ambiance chaleureuse,Conduite souple,Boisson gratuite,Ponctualité,Connectivité,Musique,Navigation GPS",Traveler,Bafang
3313,Bogo,"Connectivité,Sport",Traveler,Bafia
2210,Belo,"Espace de rangement,Connectivité,Musique",Planner,Yaounde
4151,Figuif,"Musique,Confort,Silence,Sièges inclinables,Wi-Fi gratuit,Éclairage tamisé,Vue panoramique",Planner,Melong
4253,Essos,"Ambiance chaleureuse,Chauffeur expérimenté,Assistance bagages,Conversation,Boisson gratuite,Espace de rangement,Animaux acceptés,Connectivité,Climatisation,Langue parlée,Sièges inclinables,Sport,Conduite souple,Silence,Ponctualité,Éclairage tamisé",Planner,Nanga-Eboko
4006,Kousseri,"Animaux acceptés,Navigation GPS,Cuisine,Éclairage tamisé,Ponctualité,Sièges inclinables,Vue panoramique,Connectivité,Assistance bagages,Silence,Boisson gratuite,Espace de rangement,Ambiance chaleureuse,Conduite souple",Traveler,Bonanjo
1791,Yagoua,"Animaux acceptés,Musique,Conversation,Cuisine,Ambiance chaleureuse,Sièges inclinables,Ponctualité,Connectivité,Climatisation,Chauffeur expérimenté,Boisson gratuite,Silence,Éclairage tamisé,Langue parlée,Navigation GPS,Vue panoramique,Confort,Assistance bagages,Sport,Wi-Fi gratuit,Espace de rangement",Traveler,Mbanga
1879,Douala,"Ponctualité,Conduite souple,Éclairage tamisé,Ambiance chaleureuse,Musique,Sièges inclinables,Animaux acceptés",Planner,Bertoua
2895,Mokolo,"Conversation,Langue parlée,Espace de rangement,Cuisine,Assistance bagages,Climatisation,Boisson gratuite,Ambiance chaleureuse,Sport,Wi-Fi gratuit,Musique,Connectivité",Traveler,Loum
3157,Boutours,"Sport,Ambiance chaleureuse,Vue panoramique,Cuisine,Confort,Conversation,Éclairage tamisé,Sièges inclinables,Conduite souple,Chauffeur expérimenté,Animaux acceptés,Climatisation,Musique",Planner,Nkongsamba
3331,Bertoua,"Navigation GPS,Assistance bagages,Vue panoramique,Silence,Sport,Connectivité,Éclairage tamisé",Traveler,Figuif
2226,Essos,"Boisson gratuite,Conduite souple,Vue panoramique,Conversation,Assistance bagages,Sport,Silence,Connectivité,Sièges inclinables,Ponctualité,Musique,Langue parlée,Animaux acceptés,Navigation GPS,Cuisine,Espace de rangement,Chauffeur expérimenté,Ambiance chaleureuse,Wi-Fi gratuit,Éclairage tamisé,Confort",Planner,Mbanga
4145,Loum,"Climatisation,Chauffeur expérimenté,Conduite souple,Espace de rangement,Éclairage tamisé,Conversation,Musique,Sport,Confort,Cuisine,Navigation GPS,Ponctualité,Assistance bagages,Boisson gratuite,Wi-Fi gratuit,Langue parlée,Sièges inclinables,Ambiance chaleureuse,Vue panoramique",Traveler,Muyuka
407,Muyuka,"Navigation GPS,Conduite souple,Chauffeur expérimenté,Animaux acceptés,Ambiance chaleureuse,Wi-Fi gratuit,Sport,Espace de rangement,Silence,Langue parlée,Éclairage tamisé,Conversation,Musique",Planner,Bafang
