userId,locality,keywords,u_type,dest_fav
3037,Banga Bakundu,"Assistance bagages,Sièges inclinables",Traveler,Fontem
484,Bonakouamouang,"Sièges inclinables,Espace de rangement,Chauffeur expérimenté,Boisson gratuite,Connectivité,Cuisine",Traveler,Boutours
4385,Gazawa,Ponctualité,Planner,Bonamoussadi
4299,Bonakouamouang,"Navigation GPS,Cuisine,Assistance bagages,Espace de rangement,Silence,Musique,Connectivité,Éclairage tamisé,Vue panoramique,Animaux acceptés,Conversation,Climatisation,Ponctualité,Sport,Conduite souple,Ambiance chaleureuse,Langue parlée,Sièges inclinables,Confort",Planner,Buea
772,Douala,"Éclairage tamisé,Sport,Animaux acceptés,Navigation GPS,Silence",Traveler,Figuif
1773,Buea,"Espace de rangement,Chauffeur expérimenté,Climatisation,Vue panoramique,Assistance bagages,Navigation GPS,Sport",Planner,Messa
835,Belo,"Sport,Silence,Navigation GPS,Confort,Vue panoramique,Assistance bagages,Boisson gratuite,Conversation,Sièges inclinables,Conduite souple,Espace de rangement,Wi-Fi gratuit,Musique,Climatisation,Animaux acceptés,Connectivité,Cuisine,Ponctualité,Éclairage tamisé",Traveler,Edéa
4641,Bafoussam,"Espace de rangement,Musique,Conduite souple,Chauffeur expérimenté,Animaux acceptés,Climatisation,Ambiance chaleureuse,Cuisine,Vue panoramique,Boisson gratuite,Wi-Fi gratuit",Traveler,Maroua
4270,Edéa,"Ambiance chaleureuse,Confort,Sièges inclinables,Silence,Sport,Connectivité,Assistance bagages,Éclairage tamisé,Climatisation,Musique,Espace de rangement,Vue panoramique,Boisson gratuite",Traveler,Bandjoun
1949,Campo,"Éclairage tamisé,Musique,Boisson gratuite,Ponctualité,Conversation,Espace de rangement,Langue parlée,Navigation GPS,Assistance bagages,Animaux acceptés,Ambiance chaleureuse,Confort,Sièges inclinables,Wi-Fi gratuit",Planner,Mora
4029,Nkongsamba,"Ponctualité,Conduite souple,Silence,Éclairage tamisé,Navigation GPS,Conversation,Wi-Fi gratuit,Langue parlée,Connectivité,Chauffeur expérimenté,Musique,Sièges inclinables,Confort,Animaux acceptés,Assistance bagages,Boisson gratuite,Sport,Cuisine,Ambiance chaleureuse",Traveler,Figuif
2487,Fontem,"Vue panoramique,Connectivité,Climatisation,Espace de rangement,Cuisine,Confort,Ambiance chaleureuse,Wi-Fi gratuit,Animaux acceptés,Conduite souple",Planner,Essos
2555,Figuif,"Espace de rangement,Climatisation,Silence,Animaux acceptés,Boisson gratuite,Confort,Ambiance chaleureuse,Conduite souple,Wi-Fi gratuit,Chauffeur expérimenté,Ponctualité,Sièges inclinables,Conversation",Traveler,Buea
2707,Nkongsamba,"Confort,Chauffeur expérimenté,Animaux acceptés,Wi-Fi gratuit,Sport,Navigation GPS,Espace de rangement,Vue panoramique,Boisson gratuite,Ponctualité,Sièges inclinables,Cuisine,Assistance bagages,Conversation",Planner,Bamenda
1206,Belabo,"Boisson gratuite,Ponctualité,Assistance bagages,Animaux acceptés,Conduite souple,Confort,Wi-Fi gratuit,Musique,Vue panoramique,Cuisine",Planner,Bertoua
3440,Kribi,"Langue parlée,Ambiance chaleureuse,Conduite souple,Musique,Wi-Fi gratuit,Sièges inclinables,Navigation GPS,Confort,Connectivité,Silence,Vue panoramique,Conversation,Boisson gratuite,Espace de rangement,Animaux acceptés,Cuisine,Assistance bagages",Traveler,Fontem
593,Bertoua,"Musique,Sport,Animaux acceptés,Confort,Boisson gratuite,Assistance bagages,Silence,Conversation,Wi-Fi gratuit,Connectivité,Ponctualité,Langue parlée,Chauffeur expérimenté",Planner,Bertoua
2441,Campo,"Navigation GPS,Climatisation,Confort,Sport,Vue panoramique,Ponctualité,Éclairage tamisé,Wi-Fi gratuit,Langue parlée,Connectivité,Assistance bagages,Musique,Chauffeur expérimenté,Sièges inclinables,Animaux acceptés,Cuisine,Boisson gratuite,Ambiance chaleureuse,Espace de rangement,Conversation,Silence,Conduite souple",Planner,Edéa
3906,Mbandjock,"Boisson gratuite,Wi-Fi gratuit,Assistance bagages,Ponctualité,Conversation,Silence,Langue parlée,Ambiance chaleureuse,Cuisine",Planner,Mokolo
2368,Bimbia,"Conversation,Vue panoramique,Silence,Navigation GPS,Confort,Wi-Fi gratuit,Assistance bagages,Chauffeur expérimenté,Boisson gratuite,Conduite souple,Musique,Cuisine,Éclairage tamisé,Connectivité,Sport,Espace de rangement,Ambiance chaleureuse",Planner,Mbouda
4168,Banga Bakundu,"Ponctualité,Vue panoramique,Connectivité,Animaux acceptés,Climatisation,Conduite souple,Langue parlée,Chauffeur expérimenté,Sièges inclinables,Éclairage tamisé,Navigation GPS,Cuisine,Silence,Musique,Sport,Assistance bagages,Confort,Ambiance chaleureuse",Traveler,Dibombari
2032,Maroua,"Cuisine,Sièges inclinables,Éclairage tamisé,Boisson gratuite,Espace de rangement,Musique,Confort,Langue parlée,Connectivité,Chauffeur expérimenté,Silence",Planner,Boutours
1918,Mbandjock,"Assistance bagages,Connectivité,Climatisation,Sièges inclinables,Navigation GPS,Sport,Conduite souple,Langue parlée",Planner,Bafang
1016,Beti,"Chauffeur expérimenté,Sièges inclinables,Ambiance chaleureuse,Musique,Confort,Ponctualité,Cuisine,Animaux acceptés,Boisson gratuite,Espace de rangement,Navigation GPS,Éclairage tamisé,Sport,Connectivité,Vue panoramique,Assistance bagages,Conduite souple,Climatisation",Traveler,Kribi
1847,Campo,"Wi-Fi gratuit,Ambiance chaleureuse,Conduite souple",Planner,Beti
4972,Bali Nyonga,"Vue panoramique,Sièges inclinables,Wi-Fi gratuit,Silence,Langue parlée,Assistance bagages,Chauffeur expérimenté,Ambiance chaleureuse,Navigation GPS",Traveler,Nanga-Eboko
514,Belo,"Confort,Langue parlée,Connectivité,Musique,Éclairage tamisé,Cuisine,Conduite souple,Sport,Ponctualité,Silence,Chauffeur expérimenté,Conversation,Climatisation,Assistance bagages,Espace de rangement",Traveler,Mora
299,Yagoua,"Confort,Wi-Fi gratuit,Connectivité,Conversation,Boisson gratuite",Planner,Mora
1174,Meiganga,"Espace de rangement,Boisson gratuite,Langue parlée,Navigation GPS,Sport,Connectivité,Ambiance chaleureuse,Chauffeur expérimenté,Éclairage tamisé",Traveler,Gazawa
4777,Bonanjo,"Musique,Chauffeur expérimenté,Boisson gratuite,Éclairage tamisé,Confort,Assistance bagages,Espace de rangement,Navigation GPS,Conduite souple,Animaux acceptés,Climatisation,Conversation,Cuisine,Sièges inclinables,Vue panoramique",Traveler,Nkongsamba
2627,Garoua,"Chauffeur expérimenté,Silence,Navigation GPS,Langue parlée,Animaux acceptés,Vue panoramique,Éclairage tamisé,Sièges inclinables,Conversation,Confort,Connectivité,Cuisine,Wi-Fi gratuit,Assistance bagages,Sport,Ambiance chaleureuse,Ponctualité,Boisson gratuite,Musique,Climatisation,Espace de rangement",Planner,Batibo
237,Bonabéri,"Wi-Fi gratuit,Sièges inclinables,Musique,Navigation GPS,Ambiance chaleureuse,Cuisine,Vue panoramique",Traveler,Bimbia
3625,Bonanjo,"Navigation GPS,Chauffeur expérimenté,Connectivité,Cuisine,Confort,Éclairage tamisé,Espace de rangement,Musique,Sièges inclinables,Assistance bagages,Conversation,Boisson gratuite",Planner,Limbe
3449,Banga Bakundu,"Musique,Vue panoramique",Traveler,Beti
3110,Bertoua,"Navigation GPS,Wi-Fi gratuit,Ambiance chaleureuse,Éclairage tamisé",Traveler,Mbouda
439,Messa,"Climatisation,Conduite souple,Confort,Navigation GPS",Traveler,Yaounde
3449,Figuif,"Espace de rangement,Confort,Sièges inclinables,Cuisine,Ponctualité,Sport,Connectivité,Climatisation,Musique,Silence",Planner,Yaounde
1493,Meiganga,"Vue panoramique,Cuisine,Langue parlée",Planner,Bafang
1541,Figuif,"Wi-Fi gratuit,Connectivité,Musique,Langue parlée,Silence,Ambiance chaleureuse,Conduite souple,Climatisation,Ponctualité",Planner,Bafia
4110,Dibombari,Conduite souple,Traveler,Bali
605,Dibombari,"Climatisation,Assistance bagages,Wi-Fi gratuit,Sport,Éclairage tamisé,Boisson gratuite,Conduite souple,Conversation,Chauffeur expérimenté,Navigation GPS,Confort,Ambiance chaleureuse,Animaux acceptés,Langue parlée,Sièges inclinables",Traveler,Mbandjock
4415,Bafang,"Chauffeur expérimenté,Éclairage tamisé,Sièges inclinables,Climatisation,Confort,Musique,Conduite souple,Langue parlée,Ponctualité,Silence",Planner,Boutours
521,Beti,"Ponctualité,Climatisation,Wi-Fi gratuit,Cuisine,Connectivité,Boisson gratuite,Sièges inclinables,Ambiance chaleureuse,Confort,Langue parlée,Éclairage tamisé,Animaux acceptés,Conversation,Sport,Conduite souple,Chauffeur expérimenté,Vue panoramique,Musique",Planner,Bonaberi
2546,Loum,"Sièges inclinables,Conversation",Planner,Kousseri
2660,Bertoua,"Sport,Boisson gratuite,Connectivité,Confort,Climatisation,Animaux acceptés,Éclairage tamisé,Cuisine,Ponctualité,Conduite souple,Silence,Wi-Fi gratuit,Musique,Ambiance chaleureuse,Conversation,Assistance bagages,Langue parlée,Chauffeur expérimenté,Navigation GPS,Vue panoramique,Sièges inclinables,Espace de rangement",Planner,Figuif
1605,Yaounde,"Navigation GPS,Ambiance chaleureuse,Silence,Sport,Confort,Sièges inclinables,Wi-Fi gratuit,Boisson gratuite,Vue panoramique,Chauffeur expérimenté,Assistance bagages,Conduite souple,Climatisation,Animaux acceptés,Éclairage tamisé,Cuisine,Conversation,Connectivité,Ponctualité,Langue parlée,Espace de rangement",Traveler,Bonakouamouang
3750,Figuif,"Animaux acceptés,Éclairage tamisé,Conversation,Vue panoramique,Ambiance chaleureuse,Wi-Fi gratuit,Chauffeur expérimenté,Langue parlée,Silence,Navigation GPS,Sièges inclinables,Ponctualité,Assistance bagages,Musique,Conduite souple,Confort,Climatisation,Sport,Espace de rangement,Boisson gratuite,Connectivité",Traveler,Bimbia
1436,Limbe,"Cuisine,Éclairage tamisé,Navigation GPS,Animaux acceptés,Sièges inclinables,Assistance bagages,Wi-Fi gratuit,Chauffeur expérimenté,Confort,Vue panoramique,Connectivité,Conversation",Traveler,Bertoua
